id,label,hierarchy,description
2190,Serviços de Acomodação,Serviços de Acomodação,"Esse setor inclui entidades que fornecem hospedagem de curto prazo em instalações, como hotéis, motéis e pousadas. Além da hospedagem, eles podem oferecer uma série de outros serviços aos seus hóspedes."
34,Serviços de Alimentos e Bebidas,Serviços de Acomodação > Serviços de Alimentos e Bebidas,"Esse setor inclui entidades que preparam refeições, lanches e bebidas para o pedido do cliente, para o consumo imediato local e fora do local."
2217,"Bares, tabernas e boates","Serviços de Acomodação > Serviços de Alimentos e Bebidas > Bares, tabernas e boates","Essa indústria inclui entidades conhecidas como bares, tabernas, boates ou locais de bebida preparando e servindo bebidas alcoólicas para consumo imediato."
2212,Fornecedores,Serviços de Acomodação > Serviços de Alimentos e Bebidas > Fornecedores,Esse setor inclui entidades que fornecem serviços de alimentação baseados em eventos e geralmente têm equipamentos e veículos para transportar refeições e lanches para eventos e/ou preparar alimentos no local.
2214,Serviços de Alimentação Móvel,Serviços de Acomodação > Serviços de Alimentos e Bebidas > Serviços de Alimentação Móvel,"Esse setor inclui entidades que preparam e servem refeições e lanches para o consumo imediato de veículos motorizados ou carrinhos não motores. A entidade é o local central a partir do qual a rota do fornecedor é atendida, e não cada veículo ou carrinho. Incluem-se neste setor entidades que prestam serviços de alimentação a partir de veículos, como carrinhos de cachorro-quente e caminhões de sorvete."
32,Restaurantes,Serviços de Acomodação > Serviços de Alimentos e Bebidas > Restaurantes,"Esse setor inclui entidades que fornecem alimentos a clientes que são servidos enquanto estão sentados e pagam depois de comer, ou aqueles que selecionam itens (por exemplo, em um balcão, em uma linha de buffet) e pagam antes de comer. Estão incluídas as entidades que preparam e/ou servem snacks especiais e/ou bebidas não alcoólicas para consumo nas instalações ou nas suas proximidades."
31,Hospitalidade,Serviços de Acomodação > Hospitalidade,"Esse setor inclui entidades que fornecem aos clientes hospedagem e/ou refeições preparadas, lanches e bebidas para consumo imediato."
2197,"Pousadas, Albergues, Casas de Família","Serviços de Acomodação > Hospitalidade > Pousadas, Albergues, Casas de Família","Essa indústria inclui entidades que fornecem hospedagem e alimentos de curto prazo (exceto hotéis, motéis e hotéis de cassino)."
2194,Hotéis e Motéis,Serviços de Acomodação > Hospitalidade > Hotéis e Motéis,"Esse setor inclui entidades que fornecem hospedagem de curto prazo especificamente em instalações conhecidas como hotéis, hotéis de estrada, hotéis de resort e motéis."
1912,Serviços Administrativos e de Suporte,Serviços Administrativos e de Suporte,"Este setor inclui entidades que realizam atividades de suporte de rotina para as operações diárias de outras organizações, incluindo administração de escritórios, contratação e colocação de pessoal, preparação de documentos e serviços administrativos semelhantes, solicitação, coleta, segurança e vigilância, limpeza e descarte de materiais."
